10,27.1,93.7,101.2,158.5,128.1,226.1,262.4,198.4,5.6,1.5,29.6
19.6,20.2,118.8,152.3,167,143.4,239,289.1,141.2,35.4,57.4,0.8
5.2,0.5,22.4,6.8,181.7,273.6,268.5,403.8,368.8,233.1,9.1,4.5
30.1,11,65,76.1,180,218.3,424.9,547.2,204.8,199.3,1.5,0
6.6,104,11.1,78.5,180.2,360,336.7,148.5,328.2,133.4,43.4,0
27.4,13.6,38,161.6,144.1,281,335.4,269.4,192.4,43,61.4,10
14,14.5,54.9,107.8,117.5,218.6,291,358.4,347.4,154.6,5.2,52.2
4.4,3.5,10.6,217,183.2,235.4,505.8,243.5,296.7,157.6,13.8,0.3
3.5,18.9,80,62.2,160.3,307.4,191.8,322.9,263.6,177,9,2.7
0,39.2,8.6,80.7,170.9,298.7,206.4,139.5,283.5,83.7,26.2,1
0,70.3,16.1,146.5,343.5,241.5,314.5,416.5,182.2,191.4,79.4,1.8
43.8,5,54.1,35,170.7,398.4,453.1,393.3,320,125.7,0,0
0,10.6,24.6,32.1,138.4,205.7,277.2,388.2,216.8,129.4,13.4,0
1.4,8.2,56.9,60.8,119.5,347.1,530.6,464.3,226.5,162,2.1,21.2
9.8,5.2,56.8,34.9,265.6,308.2,437.7,239.9,336.3,31.7,9.7,0
32.7,15.2,49.2,81.5,130.8,218.8,295.7,258.7,123.6,124.3,40.2,0
0,0,45.2,115.4,332.5,298.2,350.9,268.5,226.3,112.1,0,0
0,16.8,31.8,77.6,145.5,139,332.4,350.6,231.4,58.2,0,0
0,18.4,18.4,200.7,50.3,0,0,0,0,0,0,0
20,5.6,36.2,97.8,243.8,317.2,255.2,256.4,242.7,204.2,72.2,1.4
2.2,0.8,93,163.7,234.6,326.9,482.1,250.4,340.6,204.2,5.4,31.9
13.2,3.6,45,127.6,279.2,338.1,568.4,359.4,139.6,85.2,1.2,65.4
80.6,15.4,58.2,83,175,208.1,286.4,355.9,266.6,212.6,37.2,0
35.8,9.4,21,130.2,181.6,319.6,328,215.6,154,237.6,62.2,0
0.3,0,25.2,42.4,78.2,171.6,187.4,233.2,241.8,111.4,0,13.6
34.2,58.8,8.6,89.1,261.8,241.4,363.5,121.8,246.4,185.6,0,18.8
